"464990197,2026-08-03T23:05:56Z,1405/05/13 02:35,M.nt,mohammadmnt,twit,#ومهان \nپارادوکس معاملاتی «ومهان» در بازار\nمگر می شود سهمی پرتفویش صف خرید باشد، اما خودش در دامنه منفی و صفر تابلو  معامله شود!! چنین وضعیتی فقط یک معنا داشت، فرصت خرید \nغفلت بازار از نمادی مثل «ومهان» که بواسطه مالکیت ۵٪ در هلدینگ پتروشیمی تابان فردا،\nسهامدار غولهای«شپنا»، «فارس»، «شسپا» و دیگر سهم‌های پرتقاضای بورس است\n آیا معاملات منفی روزهای گذشته و صفر تابلو «ومهان» در دامنه منفی و مثبت ناچیز  اشتباه بزرگ  بازار نبود؟ چطور می شود که سرمایه گذاری های مهم درون سبد صف خرید باشند و خود سهم در دامنه منفی معامله شود؟ البته داستان از این جذابتر نیز می شود.\nتوجه فرمایید که «ومهان» خود نیز پرتفوی پرپتانسیلی در صنایع مطرح این روزها یعنی سیمان، پالایش، شیمیایی و… داشته و با احتساب رشد بازار ، مسلما ارزش ذاتی هر سهم «ومهان» نیز بالاتر رفته اما در تابلوی معاملاتی، معاملات روزهای گذشته می تواند یک اشتباه مهم بازار باشد که خب! برای آنان که می اندیشیند و با دودوتا چهارتا سرمایه گذاری کردند ، یک گیفت (هدیه) به دید کوتاه مدت ، میان مدت و بلندمدت محسوب می شود.\nقدر این هدیه را بدانید بمحض اینکه خبر معارفه تابان منتشر شود باور کنید ومهان پرتقاضاترین سهم بورس خواهد شد \nو زمانی که تابان عرضه و کشف قیمت شود نسبت p/nav شرکت بسیار بسیار بسیار بسیار.........جذاب  خواهد شد و nav هر سهم ومهان منفجر خواهد شد یعنی بالای ۲۰۰۰ تومن  البته با نسبت P/NAV صد در صدی \nکمی صبر سحر نزدیک است \nدلنوشته ۱۳ مرداد قیمت سهم ومهان ۶۵۹ تومن  حدود یک چهارم ارزش ذاتی پرتفو"
"464990179,2026-08-03T22:57:46Z,1405/05/13 02:27,اورشلیم,6398alik,twit,چقدر این اکانت منفی میبافه فکر کنم تو ذهنش یه ذره روشنایی وجودنداره چی گیر تو میاد از این حرکت منفی بافی خودتو به روان پزشک نشون بده مثل پرتون باش باش مبت فکر کن\n@escobar Escobar"
"464990175,2026-08-03T22:57:09Z,1405/05/13 02:27,Trader,borse2030,twit,#شاخص_بورس خساپا  .  خگلپا زیر مجموعه سایپا بعد از تعطیلات عرضه اولیه می شود . خساپا را در یابید !"
"464990137,2026-08-03T22:47:03Z,1405/05/13 02:17,اورشلیم,6398alik,twit,@escobar"
"464990104,2026-08-03T22:39:24Z,1405/05/13 02:09,Magical,magicalman,twit,#فولاد \nمجمع «فولاد»؛ ۴.۵ همت برای مسئولیت اجتماعی، ۱۰ همت برای سهامداران\nبیچاره سهامدار\n😞"
"464990083,2026-08-03T22:32:05Z,1405/05/13 02:02,Rh,rezahasani146,twit,#شصفها ایستاده یم تا آخر،بگرد تا بگردیم..."
"464990068,2026-08-03T22:30:11Z,1405/05/13 02:00,آقا رضا,aghareza123456,quote,مارکت اندازه لوله های تو انباره ، بقیه دارایی ها کلا مفت افتادن"
"464990054,2026-08-03T22:26:59Z,1405/05/13 01:56,ELdorado,123sadegh,twit,پس از گ...دن ترامپ قیمت میش خلوک افزایش پیدا کرد به گزارش منابع محلی همه میشها فروش رفتند"
"464990045,2026-08-03T22:26:30Z,1405/05/13 01:56,سید پرویز گبیر,cbidf,twit,#ثعمرا  بعد از ماه ها ، یه تغییر تو درصدی ها ، حتی ناچیز"
"464990018,2026-08-03T22:22:15Z,1405/05/13 01:52,ELdorado,123sadegh,twit,شلیک موشکهای بال استیک به سمت گوغر بافت باعث افزایش قیمت روغن و کشک محلی شد\nهمه برید بخرید"
