"465983762,2026-09-15T00:06:42Z,1405/06/24 03:36,trader-piroz,trader-piroz,quote,#دماوند والله تا یادمه میگید نترسید جا نمیمونید از ۷۰۰ هشتصد تومن دارید همینو میگی (فکر نمیکنی شاید یه نفر بخاطر کلامی که تایپ میکنی دچار ضرر بشه)\nچیزی بلد نیستی پیام نده نظر نده\nسهام داران چارت دماوند و رشد سهم در سال ۹۷ رو ببینند آیا سهم شارپ بالا رفته؟ یا مثل چند ماه اخیر روند صعودی کند ولی پیوسته داشته\nالان هم سهم به همین شکل اهداف خوبی رو داره دنبال میکنه\nپر سود باشید"
"a0e26e07-4796-42c1-87b4-531b65dafc08,,,,,all,"
"465983724,2026-09-14T23:29:09Z,1405/06/24 02:59,م,adrian168,twit,#فاسمین  کی باز میشه خبر مرگش"
"465983702,2026-09-14T23:23:21Z,1405/06/24 02:53,حسن کنی,2koohe,twit,#نوری داستان باغ وحش ی ایراد داره،اینکه مشاجرات ورودبه قفس شیر راداشته."
"465983691,2026-09-14T23:22:06Z,1405/06/24 02:52,حسن کنی,2koohe,twit,#نوری"
"465983674,2026-09-14T23:18:05Z,1405/06/24 02:48,بورس باز,toloo123456,quote,چقدر جالبه که بعد حدود ۱۰۰ درصد رشد \nهنوز درصدی اضافه میشه و درصدی های قبلی هم میخرن \n😍😍😍😍😍\nچه خبری در سهم است 🤔🤔🤔🤔🤔"
"465983351,2026-09-14T22:12:17Z,1405/06/24 01:42,بورس باز,toloo123456,retwit,#خفناور \n\nدوباره خرید درصدی ها 😍😍😍😍"
"465983660,2026-09-14T23:16:45Z,1405/06/24 02:46,بورس باز,toloo123456,quote,ببین میتونی بخری \nفردا صف خریده کلا 🤣🤣🤣"
"465983651,2026-09-14T23:16:00Z,1405/06/24 02:46,بورس باز,toloo123456,quote,اگه تونستی بخر \nتو‌فقط کارمزد میدی کارگزاری \n🤣🤣🤣🤣🤣"
"465983647,2026-09-14T23:15:25Z,1405/06/24 02:45,بورس باز,toloo123456,quote,اگه تونستی بخر 🤣🤣🤣"
"465983638,2026-09-14T23:13:35Z,1405/06/24 02:43,سهیل,iran.....................amir,twit,#خساپا \n\nفردا    خساپا   ،ورنا    ،وساپا\n\n\n\nهر   سه  مثبت  و  صف خرید  میشه"
